filename,conf,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),snr,source,class
JR4MWDSK7INQZF73JGOUJLKQE6BKM7HE5JH6J5Q.wav,1.0,231.0,239.0,19.0,22.0,0.0,boussole,0
TPKHL4AWQEJCYSSILGC6ILMRQRVMOUNNQBPKXKY.wav,1.0,171.0,179.0,19.0,22.0,0.0,boussole,0
6BTLHZREEUIR67VV2OQDZUX2TFZHMAKBWZULFOI.wav,1.0,96.0,104.0,19.0,22.0,0.0,boussole,0
3CRZE6YGHC4Y42ZDDWOQDI2Z6VNGDDGSGEHTTYA.wav,1.0,132.768911,137.768911,19.0,22.0,0.0,boussole,1
DBDUNNRX3EAKUB4Z4S3HMED542U4RCP2KCKFWQM6BWGOUSQ7RAKZLTE3FOR4LUOW.wav,1.0,239.747028,244.747028,19.0,22.0,0.0,bombyx,1
JR4MWDSK7INQZF73JGOUJLKQE6BKM7HE5JH6J5Q.wav,1.0,261.0,269.0,19.0,22.0,0.0,boussole,0
TPKHL4AWQEJCYSSILGC6ILMRQRVMOUNNQBPKXKY.wav,1.0,211.0,219.0,19.0,22.0,0.0,boussole,0
SFWO43KPBIDLJGPOKIZ5QOVIYIF3WPE27B7NS6TKCMW2WI4BADEQI3RBVILWI67Y.wav,1.0,23.897713,28.897713,19.0,22.0,0.0,bombyx,1
RDWE5TG2CCZATXAZVQQVUQEHTSPVND4T7KJKGTA.wav,1.0,186.0,194.0,19.0,22.0,0.0,boussole,0
FO6VHPOJURA5AJQF35EULLSDEKBZYEKE3HLER5BJRK7X2CJGOQIRLSMWDEHK7AFD2VAA.wav,1.0,111.0,119.0,19.0,22.0,0.0,bombyx,0
DBDUNNRX3EAKUB4Z4S3HMED542U4RCP2KCKFWQM6BWGOUSQ7RAKZLTE3FOR4LUOW.wav,1.0,76.692479,81.692479,19.0,22.0,0.0,bombyx,1
3EYZFAJMAKFULB5IF2ZIWWEZS37TIRM7Y2MECKY.wav,1.0,116.0,124.0,19.0,22.0,0.0,boussole,0
GLHTBCZNQVHDLR56SAYZQBF444MTRJQRI23EEAI.wav,1.0,258.866144,263.866144,19.0,22.0,0.0,boussole,1
ZMNRMKMB7NRX6T4TTYOAAMJ7CTI644R7XEBJSRA.wav,1.0,281.0,289.0,19.0,22.0,0.0,boussole,0
